time,ax (m/s^2)
4.1878,20.9513
4.193032,23.5028
4.197292,24.3838
4.201887,24.728
4.206262,23.5693
4.21096,23.3862
4.215607,22.8239
4.220524,21.6604
4.226736,19.7193
4.229871,17.6495
4.234331,15.7584
4.23897,14.4251
4.243785,13.633
4.248427,13.508
4.253143,13.6492
4.258285,13.9264
4.262719,14.1191
4.267454,14.1875
4.271855,14.2824
4.276706,14.2186
4.281213,13.9676
4.285889,14.7055
4.290759,15.3622
4.295506,16.1364
4.299829,16.781
4.306036,17.3395
4.310788,17.7021
4.31402,17.5777
4.318659,17.0335
4.322842,16.4087
4.327948,16.0082
4.332503,16.1653
4.336964,16.8555
4.341745,17.6009
4.346448,18.0005
4.351025,17.9257
4.355905,17.6349
4.360752,17.5733
4.365458,17.6943
4.370131,17.6795
4.375248,17.3443
4.379872,16.5463
4.384059,15.5734
4.388743,14.6284
4.39363,13.8992
4.398115,13.2472
4.402359,12.5652
4.406992,11.9881
4.41234,11.5169
4.416764,11.3252
4.421426,11.193
4.427404,11.0558
4.430809,11.2613
4.435451,11.5767
4.439593,11.9935
4.444682,12.1472
4.449537,11.6152
4.454157,10.452
4.459188,8.7206
4.463799,6.8786
4.468129,5.3433
4.472773,3.8828
4.477933,2.3967
4.482276,1.4024
4.486711,0.0835
4.492078,-1.7581
4.496499,-4.3401
4.501104,-7.4346
4.505864,-10.6986
4.510411,-13.4575
4.514734,-15.1997
4.519884,-15.3197
4.52468,-14.1728
4.528872,-12.2462
4.533491,-10.2761
4.538184,-8.0196
4.542811,-5.8527
4.547719,-4.3157
4.552211,-3.5769
4.557105,-3.3948
4.561272,-3.4825
4.566405,-3.592
4.570933,-3.4553
4.575699,-3.0739
4.580533,-2.6775
4.585134,-2.2453
4.589678,-1.8733
4.594388,-1.6451
4.598826,-1.2562
4.603328,-0.5087
4.609165,0.3616
4.613316,1.12
4.617786,1.6437
4.622335,1.6811
4.627382,1.0007
4.6316,-0.5998
4.635959,-2.6703
4.641683,-4.5783
4.645182,-6.2025
4.650544,-7.4229
4.655229,-8.1122
4.660021,-8.3439
4.664346,-8.1476
4.66903,-7.4316
4.67405,-6.5227
4.678717,-5.5295
4.683198,-4.8134
4.688009,-4.2732
4.692508,-3.8442
4.697346,-3.7226
4.701828,-3.9242
4.706895,-4.5713
4.711148,-5.9335
4.715718,-7.6061
4.720454,-9.1082
4.727037,-10.3804
4.729924,-11.4633
4.734397,-11.8326
4.738934,-11.3899
4.743816,-10.2225
4.748483,-8.7323
4.75312,-7.1658
4.758322,-5.5913
4.762768,-3.9427
4.767478,-2.4032
4.771844,-1.1364
4.776522,-0.0468
4.781254,0.8164
4.785758,1.4802
4.790338,1.6394
4.794857,1.0911
4.799657,0.1563
4.805676,-1.1957
4.808932,-2.5048
4.813856,-3.1193
4.818458,-2.8445
4.823764,-2.0415
4.827893,-1.1383
4.832276,-0.4047
4.837055,0.0202
4.841995,0.5753
4.8466,1.5398
4.851366,2.4399
4.856051,3.6375
4.860756,3.6782
4.865331,3.3794
4.8699,3.3481
4.875193,3.5123
4.879517,4.215
4.883751,5.1374
4.88864,4.9845
4.893561,4.0661
4.898033,3.4304
4.902642,3.183
4.907867,2.8452
4.912049,2.9202
4.91672,2.7065
4.921556,2.115
4.926744,1.3912
4.930722,0.8149
4.935511,0.5078
4.940179,0.3693
4.944868,0.7492
4.949443,1.0279
4.954168,1.2447
4.958928,1.4951
4.963603,1.7653
4.967769,1.8827
4.972677,1.771
4.977874,1.4463
4.982284,0.9658
4.986861,0.4562
4.991693,0.021
4.996474,-0.3565
5.00077,-0.9141
5.005563,-1.691
5.010946,-2.5086
5.015434,-3.1512
5.019408,-3.3532
5.028884,-2.9416
5.029612,-2.0193
5.033178,-0.7174
5.037812,0.5215
5.042632,1.6175
5.048132,2.4572
5.052105,3.0391
5.056839,2.9713
5.061533,2.5088
5.06628,3.2463
5.070722,3.4157
5.075971,3.0611
5.080039,3.2198
5.084801,3.7241
5.089461,4.0294
5.094167,4.3999
5.098866,5.1862
5.103702,4.5226
5.10944,3.9694
5.113041,3.3936
5.117492,2.6387
5.122423,2.0996
5.126963,1.9521
5.131851,2.6388
5.136344,4.2108
5.143218,5.483
5.146018,5.6251
5.150468,4.8662
5.154648,3.748
5.159508,2.4189
5.164377,0.8662
5.169189,-1.5415
5.173757,-4.7179
5.178523,-7.6747
5.183193,-9.0958
5.18773,-8.1469
5.192462,-6.3222
5.197157,-4.7736
5.202233,-2.2855
5.206768,-0.4648
5.211209,2.0253
5.215775,4.1758
5.220105,4.967
5.2295,4.6298
5.230005,3.5772
5.236658,2.5339
5.238725,2.0424
5.269486,2.118
5.270255,2.4525
5.270556,2.8876
5.270838,3.2946
5.27125,3.426
5.271609,3.2125
5.27198,2.4132
5.276243,1.2861
5.280919,0.1836
5.285631,-0.1271
